,Date,Confirmed,Deaths,Cured,Daily_Change_C,Daily_Change_R,Daily_Change_D
0,2020-01-30,1.0,0.0,0.0,0,0,0
1,2020-01-31,1.0,0.0,0.0,0,0,0
2,2020-02-01,2.0,0.0,0.0,1,0,0
3,2020-02-02,3.0,0.0,0.0,1,0,0
4,2020-02-03,3.0,0.0,0.0,0,0,0
5,2020-02-04,3.0,0.0,0.0,0,0,0
6,2020-02-05,3.0,0.0,0.0,0,0,0
7,2020-02-06,3.0,0.0,0.0,0,0,0
8,2020-02-07,3.0,0.0,0.0,0,0,0
9,2020-02-08,3.0,0.0,0.0,0,0,0
10,2020-02-09,3.0,0.0,0.0,0,0,0
11,2020-02-10,3.0,0.0,0.0,0,0,0
12,2020-02-11,3.0,0.0,0.0,0,0,0
13,2020-02-12,3.0,0.0,0.0,0,0,0
14,2020-02-13,3.0,0.0,0.0,0,0,0
15,2020-02-14,3.0,0.0,0.0,0,0,0
16,2020-02-15,3.0,0.0,0.0,0,0,0
17,2020-02-16,3.0,0.0,0.0,0,0,0
18,2020-02-17,3.0,0.0,0.0,0,0,0
19,2020-02-18,3.0,0.0,0.0,0,0,0
20,2020-02-19,3.0,0.0,0.0,0,0,0
21,2020-02-20,3.0,0.0,0.0,0,0,0
22,2020-02-21,3.0,0.0,0.0,0,0,0
23,2020-02-22,3.0,0.0,0.0,0,0,0
24,2020-02-23,3.0,0.0,0.0,0,0,0
25,2020-02-24,3.0,0.0,0.0,0,0,0
26,2020-02-25,3.0,0.0,0.0,0,0,0
27,2020-02-26,3.0,0.0,0.0,0,0,0
28,2020-02-27,3.0,0.0,0.0,0,0,0
29,2020-02-28,3.0,0.0,0.0,0,0,0
30,2020-02-29,3.0,0.0,0.0,0,0,0
31,2020-03-01,3.0,0.0,0.0,0,0,0
32,2020-03-02,5.0,0.0,0.0,2,0,0
33,2020-03-03,6.0,0.0,3.0,1,3,0
34,2020-03-04,28.0,0.0,3.0,22,0,0
35,2020-03-05,30.0,0.0,3.0,2,0,0
36,2020-03-06,31.0,0.0,3.0,1,0,0
37,2020-03-07,34.0,0.0,3.0,3,0,0
38,2020-03-08,39.0,0.0,3.0,5,0,0
39,2020-03-09,46.0,0.0,3.0,7,0,0
40,2020-03-10,58.0,0.0,3.0,12,0,0
41,2020-03-11,60.0,0.0,3.0,2,0,0
42,2020-03-12,74.0,0.0,3.0,14,0,0
43,2020-03-13,81.0,1.0,3.0,7,0,1
44,2020-03-14,84.0,2.0,10.0,3,7,1
45,2020-03-15,110.0,2.0,13.0,26,3,0
46,2020-03-16,114.0,2.0,13.0,4,0,0
47,2020-03-17,137.0,3.0,14.0,23,1,1
48,2020-03-18,151.0,3.0,14.0,14,0,0
49,2020-03-19,173.0,4.0,20.0,22,6,1
50,2020-03-20,223.0,4.0,23.0,50,3,0
51,2020-03-21,283.0,4.0,23.0,60,0,0
52,2020-03-22,360.0,7.0,24.0,77,1,3
53,2020-03-23,433.0,7.0,24.0,73,0,0
54,2020-03-24,519.0,9.0,40.0,86,16,2
55,2020-03-25,606.0,10.0,43.0,87,3,1
56,2020-03-26,694.0,15.0,45.0,88,2,5
57,2020-03-27,724.0,17.0,67.0,30,22,2
58,2020-03-28,909.0,19.0,80.0,185,13,2
59,2020-03-29,1024.0,27.0,96.0,115,16,8
60,2020-03-30,1205.0,31.0,102.0,181,6,4
61,2020-03-31,1359.0,35.0,124.0,154,22,4
62,2020-04-01,1834.0,41.0,144.0,475,20,6
63,2020-04-02,2069.0,53.0,156.0,235,12,12
64,2020-04-03,2470.0,62.0,163.0,401,7,9
65,2020-04-04,3072.0,75.0,213.0,602,50,13
66,2020-04-05,3577.0,83.0,275.0,505,62,8
67,2020-04-06,4281.0,111.0,319.0,704,44,28
68,2020-04-07,4789.0,124.0,353.0,508,34,13
69,2020-04-08,5274.0,149.0,411.0,485,58,25
70,2020-04-09,5865.0,169.0,478.0,591,67,20
71,2020-04-10,6761.0,206.0,516.0,896,38,37
72,2020-04-11,7529.0,242.0,653.0,768,137,36
73,2020-04-12,8447.0,273.0,765.0,918,112,31
74,2020-04-13,9352.0,324.0,980.0,905,215,51
75,2020-04-14,10815.0,353.0,1190.0,1463,210,29
76,2020-04-15,11933.0,392.0,1344.0,1118,154,39
77,2020-04-16,12759.0,420.0,1515.0,826,171,28
78,2020-04-17,13835.0,452.0,1767.0,1076,252,32
79,2020-04-18,14792.0,488.0,2015.0,957,248,36
80,2020-04-19,16116.0,519.0,2302.0,1324,287,31
81,2020-04-20,17656.0,559.0,2842.0,1540,540,40
82,2020-04-21,18985.0,603.0,3260.0,1329,418,44
83,2020-04-22,20471.0,652.0,3960.0,1486,700,49
84,2020-04-23,21700.0,686.0,4325.0,1229,365,34
85,2020-04-24,23452.0,723.0,4814.0,1752,489,37
86,2020-04-25,24893.0,779.0,5210.0,1441,396,56
87,2020-04-26,26605.0,826.0,5914.0,1712,704,47
88,2020-04-27,28160.0,886.0,6362.0,1555,448,60
89,2020-04-28,29834.0,937.0,7027.0,1674,665,51
90,2020-04-29,31709.0,1008.0,7797.0,1875,770,71
91,2020-04-30,33330.0,1075.0,8373.0,1621,576,67
92,2020-05-01,34972.0,1152.0,9065.0,1642,692,77
93,2020-05-02,37157.0,1218.0,9951.0,2185,886,66
94,2020-05-03,40124.0,1306.0,10887.0,2967,936,88
95,2020-05-04,42836.0,1389.0,11762.0,2712,875,83
96,2020-05-05,46711.0,1583.0,13161.0,3875,1399,194
97,2020-05-06,49391.0,1694.0,14183.0,2680,1022,111
98,2020-05-07,52952.0,1783.0,15267.0,3561,1084,89
99,2020-05-08,56342.0,1886.0,16540.0,3390,1273,103
100,2020-05-09,59662.0,1981.0,17847.0,3320,1307,95
101,2020-05-10,62939.0,2109.0,19358.0,3277,1511,128
102,2020-05-11,67152.0,2206.0,20917.0,4213,1559,97
103,2020-05-12,70756.0,2293.0,22455.0,3604,1538,87
104,2020-05-13,74281.0,2415.0,24386.0,3525,1931,122
105,2020-05-14,78003.0,2549.0,26235.0,3722,1849,134
106,2020-05-15,81970.0,2649.0,27920.0,3967,1685,100
107,2020-05-16,85710.0,2752.0,30153.0,3740,2233,103
108,2020-05-17,90637.0,2872.0,34109.0,4927,3956,120
109,2020-05-18,95759.0,3029.0,36824.0,5122,2715,157
110,2020-05-19,100325.0,3163.0,39174.0,4566,2350,134
111,2020-05-20,105654.0,3303.0,42298.0,5329,3124,140
112,2020-05-21,110956.0,3435.0,45300.0,5302,3002,132
113,2020-05-22,116827.0,3583.0,48534.0,5871,3234,148
114,2020-05-23,123202.0,3720.0,51784.0,6375,3250,137
115,2020-05-24,129530.0,3867.0,54441.0,6328,2657,147
116,2020-05-25,136203.0,4021.0,57721.0,6673,3280,154
117,2020-05-26,142410.0,4167.0,60491.0,6207,2770,146
118,2020-05-27,147754.0,4337.0,64426.0,5344,3935,170
119,2020-05-28,154001.0,4531.0,67692.0,6247,3266,194
120,2020-05-29,161126.0,4706.0,71106.0,7125,3414,175
121,2020-05-30,168720.0,4971.0,82370.0,7594,11264,265
122,2020-05-31,176652.0,5164.0,86984.0,7932,4614,193
123,2020-06-01,184905.0,5394.0,91819.0,8253,4835,230
124,2020-06-02,192292.0,5598.0,95527.0,7387,3708,204
125,2020-06-03,200492.0,5815.0,100303.0,8200,4776,217
126,2020-06-04,209436.0,6075.0,104107.0,8944,3804,260
127,2020-06-05,219160.0,6348.0,109462.0,9724,5355,273
128,2020-06-06,228465.0,6642.0,114073.0,9305,4611,294
129,2020-06-07,238023.0,6929.0,119293.0,9558,5220,287
130,2020-06-08,247422.0,7135.0,124095.0,9399,4802,206
131,2020-06-09,257795.0,7466.0,129215.0,10373,5120,331
132,2020-06-10,267356.0,7745.0,135206.0,9561,5991,279
133,2020-06-11,277648.0,8102.0,141029.0,10292,5823,357
134,2020-06-12,289220.0,8498.0,147195.0,11572,6166,396
135,2020-06-13,301009.0,8884.0,154330.0,11789,7135,386
136,2020-06-14,313486.0,9195.0,162379.0,12477,8049,311
137,2020-06-15,325452.0,9520.0,169798.0,11966,7419,325
138,2020-06-16,335407.0,9900.0,180013.0,9955,10215,380
139,2020-06-17,345792.0,11903.0,186935.0,10385,6922,2003
140,2020-06-18,358243.0,12237.0,194325.0,12451,7390,334
141,2020-06-19,371605.0,12573.0,204711.0,13362,10386,336
142,2020-06-20,385783.0,12948.0,213831.0,14178,9120,375
143,2020-06-21,401334.0,13254.0,227756.0,15551,13925,306
144,2020-06-22,417450.0,13699.0,237196.0,16116,9440,445
145,2020-06-23,432200.0,14011.0,248190.0,14750,10994,312
146,2020-06-24,448042.0,14476.0,258685.0,15842,10495,465
147,2020-06-25,464612.0,14894.0,271697.0,16570,13012,418
148,2020-06-26,482278.0,15301.0,285637.0,17666,13940,407
149,2020-06-27,500930.0,15685.0,295881.0,18652,10244,384
150,2020-06-28,521020.0,16095.0,309713.0,20090,13832,410
151,2020-06-29,541033.0,16475.0,321723.0,20013,12010,380
152,2020-06-30,559836.0,16893.0,334822.0,18803,13099,418
