,index,Daily_Change_C,Daily_change_R,Daily_change_D
0,1/22/20,0,0,0
1,1/23/20,98,2,1
2,1/24/20,286,7,8
3,1/25/20,492,3,16
4,1/26/20,685,14,14
5,1/27/20,809,9,26
6,1/28/20,2651,43,49
7,1/29/20,589,19,2
8,1/30/20,2068,18,38
9,1/31/20,1692,80,42
10,2/1/20,2111,62,46
11,2/2/20,4749,189,103
12,2/3/20,3100,151,64
13,2/4/20,4011,230,66
14,2/5/20,3745,272,72
15,2/6/20,3160,363,70
16,2/7/20,3593,524,85
17,2/8/20,2734,600,87
18,2/9/20,3030,629,100
19,2/10/20,2609,702,107
20,2/11/20,2042,737,100
21,2/12/20,418,467,5
22,2/13/20,15153,1143,253
23,2/14/20,6527,1763,152
24,2/15/20,2143,1339,143
25,2/16/20,2183,1470,104
26,2/17/20,2035,1717,98
27,2/18/20,1882,1769,140
28,2/19/20,500,1769,115
29,2/20/20,560,2058,125
30,2/21/20,629,713,4
31,2/22/20,1761,3997,207
32,2/23/20,380,505,11
33,2/24/20,564,1833,160
34,2/25/20,853,2678,80
35,2/26/20,977,2481,61
36,2/27/20,1360,2892,43
37,2/28/20,1386,3432,59
38,2/29/20,1891,3071,69
39,3/1/20,2381,2936,54
40,3/2/20,1983,2884,89
41,3/3/20,2594,2626,75
42,3/4/20,2308,2942,95
43,3/5/20,2811,2626,94
44,3/6/20,3913,2068,111
45,3/7/20,4095,2494,104
46,3/8/20,3949,2337,239
47,3/9/20,4172,1799,190
48,3/10/20,4822,1907,274
49,3/11/20,7661,2598,344
50,3/12/20,5790,1323,306
51,3/13/20,14384,1927,497
52,3/14/20,11074,2372,420
53,3/15/20,11269,3411,641
54,3/16/20,14808,2055,678
55,3/17/20,15943,2744,814
56,3/18/20,19565,2487,907
57,3/19/20,27049,1641,1111
58,3/20/20,30775,2445,1485
59,3/21/20,31991,4247,1722
60,3/22/20,34855,6217,1686
61,3/23/20,42835,468,1949
62,3/24/20,41179,9639,2290
63,3/25/20,51001,5779,2810
64,3/26/20,62877,8372,3035
65,3/27/20,65041,8785,3488
66,3/28/20,67280,8511,3730
67,3/29/20,59237,9456,3519
68,3/30/20,65294,15337,4081
69,3/31/20,76845,13590,4748
70,4/1/20,82808,15272,5998
71,4/2/20,83060,17143,5887
72,4/3/20,83559,15422,6161
73,4/4/20,58363,20412,5914
74,4/5/20,72592,13836,5188
75,4/6/20,73155,16709,5938
76,4/7/20,69831,23262,8258
77,4/8/20,83378,28882,6811
78,4/9/20,87014,25254,7784
79,4/10/20,85534,21738,7378
80,4/11/20,74283,26250,6172
81,4/12/20,119696,19383,5859
82,4/13/20,70742,27257,5966
83,4/14/20,84011,25074,6970
84,4/15/20,77114,36539,8473
85,4/16/20,95531,30883,7259
86,4/17/20,87997,26184,8394
87,4/18/20,77240,23866,6145
88,4/19/20,76605,31783,5233
